condition,date,hour,humidity,pressure,temperature
Overcast,102,5,81,29.90,63.0
Haze,102,6,81,29.91,63.0
Light Rain,102,7,84,29.93,62.1
Haze,102,8,84,29.94,62.1
Haze,102,9,81,29.94,63.0
Haze,102,10,80,29.94,64.0
Overcast,102,11,73,29.95,66.0
Overcast,102,12,73,29.95,64.9
Overcast,102,13,70,29.94,66.0
Overcast,102,14,63,29.92,68.0
Overcast,102,15,61,29.90,69.1
Overcast,102,16,59,29.88,70.0
Mostly Cloudy,102,17,59,29.86,70.0
Partly Cloudy,102,18,55,29.85,71.1
Partly Cloudy,102,19,61,29.86,68.0
Clear,102,20,65,29.87,66.0
Partly Cloudy,102,21,70,29.88,64.9
Mostly Cloudy,102,22,68,29.88,66.2
Overcast,102,23,68,29.88,66.0
Overcast,102,24,68,29.88,66.0
Clear,1020,1,83,30.10,48.0
Clear,1020,2,83,30.10,48.0
Clear,1020,3,86,30.10,46.9
Clear,1020,4,86,30.09,46.0
Clear,1020,5,83,30.08,46.0
Scattered Clouds,1020,6,86,30.10,45.0
Scattered Clouds,1020,7,83,30.11,46.0
Mostly Cloudy,1020,8,83,30.13,48.0
Scattered Clouds,1020,9,69,30.13,54.0
Mostly Cloudy,1020,10,69,30.14,59.0
Mostly Cloudy,1020,11,65,30.11,63.0
Mostly Cloudy,1020,12,56,30.09,64.9
Mostly Cloudy,1020,13,58,30.06,64.9
Mostly Cloudy,1020,14,65,30.05,62.1
Mostly Cloudy,1020,15,67,30.05,61.0
Mostly Cloudy,1020,16,75,30.04,60.1
Patches of Fog,1020,17,90,30.04,55.9
Mostly Cloudy,1020,18,90,30.05,55.9
Mostly Cloudy,1020,19,83,30.06,54.0
Mostly Cloudy,1020,20,83,30.06,54.0
Mostly Cloudy,1020,21,82,30.04,53.6
Mostly Cloudy,1020,22,77,30.04,55.0
Overcast,1020,23,77,30.04,55.0
Overcast,1020,24,72,30.02,55.9
Overcast,1021,1,77,30.00,55.4
Overcast,1021,2,77,30.00,55.0
Overcast,1021,3,74,29.99,55.0
Overcast,1021,4,77,29.97,55.4
Light Rain,1021,5,86,29.97,53.1
Mostly Cloudy,1021,6,86,29.96,53.1
Mostly Cloudy,1021,7,67,29.97,53.6
Mostly Cloudy,1021,8,61,29.98,53.1
Mostly Cloudy,1021,9,61,29.99,53.1
Scattered Clouds,1021,10,59,29.99,54.0
Mostly Cloudy,1021,11,59,29.96,55.0
Mostly Cloudy,1021,12,47,29.93,57.0
Mostly Cloudy,1021,13,46,29.92,57.9
Scattered Clouds,1021,14,37,29.93,57.9
Scattered Clouds,1021,15,40,29.95,57.0
Scattered Clouds,1021,16,42,29.95,55.9
Scattered Clouds,1021,17,47,29.96,54.0
Partly Cloudy,1021,18,50,29.97,53.1
Partly Cloudy,1021,19,34,29.99,52.0
Clear,1021,20,33,30.02,51.1
Clear,1021,21,33,30.04,50.0
Clear,1021,22,41,30.08,48.0
Partly Cloudy,1021,23,41,30.09,48.0
Clear,1021,24,41,30.10,48.0
Clear,1026,1,26,30.35,44.1
Clear,1026,2,35,30.38,41.0
Clear,1026,3,35,30.39,39.9
Clear,1026,4,43,30.38,37.9
Clear,1026,5,43,30.38,37.9
Clear,1026,6,48,30.39,37.0
Partly Cloudy,1026,7,48,30.40,37.0
Partly Cloudy,1026,8,40,30.43,41.0
Partly Cloudy,1026,9,35,30.45,46.0
Clear,1026,10,25,30.45,51.1
Partly Cloudy,1026,11,20,30.42,55.9
Partly Cloudy,1026,12,17,30.37,57.9
Partly Cloudy,1026,13,19,30.34,57.9
Partly Cloudy,1026,14,23,30.32,59.0
Partly Cloudy,1026,15,20,30.32,60.1
Partly Cloudy,1026,16,26,30.33,57.0
Partly Cloudy,1026,17,40,30.34,55.0
Partly Cloudy,1026,18,43,30.36,54.0
Partly Cloudy,1026,19,35,30.36,53.1
Clear,1026,20,41,30.37,50.0
Clear,1026,21,48,30.37,48.0
Clear,1026,22,54,30.37,46.0
Clear,1026,23,56,30.36,45.0
Clear,1026,24,58,30.36,44.1
Clear,1028,1,66,30.12,46.0
Clear,1028,2,68,30.12,45.0
Clear,1028,3,61,30.12,46.0
Clear,1028,4,61,30.12,46.0
Clear,1028,5,63,30.12,44.1
Clear,1028,6,65,30.11,43.0
Partly Cloudy,1028,7,63,30.12,44.1
Partly Cloudy,1028,8,58,30.14,48.0
Partly Cloudy,1028,9,40,30.16,57.0
Partly Cloudy,1028,10,27,30.16,66.0
Partly Cloudy,1028,11,11,30.13,75.0
Partly Cloudy,1028,12,18,30.09,72.0
Partly Cloudy,1028,13,20,30.06,73.9
Partly Cloudy,1028,14,16,30.04,75.0
Clear,1028,15,18,30.04,73.9
Partly Cloudy,1028,16,20,30.05,71.1
Partly Cloudy,1028,17,21,30.07,68.0
Partly Cloudy,1028,18,24,30.09,66.0
Clear,1028,19,28,30.09,62.1
Clear,1028,20,16,30.10,66.0
Clear,1028,21,37,30.10,55.9
Clear,1028,22,47,30.11,54.0
Clear,1028,23,50,30.11,52.0
Clear,1028,24,52,30.13,51.1
Clear,1029,1,56,30.12,48.9
Clear,1029,2,56,30.12,48.0
Clear,1029,3,61,30.11,46.0
Clear,1029,4,58,30.10,45.0
Clear,1029,5,56,30.10,46.0
Scattered Clouds,1029,6,60,30.10,44.1
Scattered Clouds,1029,7,56,30.11,45.0
Scattered Clouds,1029,8,54,30.12,48.0
Scattered Clouds,1029,9,37,30.13,57.0
Scattered Clouds,1029,10,28,30.13,64.0
Scattered Clouds,1029,11,23,30.11,70.0
Partly Cloudy,1029,12,14,30.07,75.9
Partly Cloudy,1029,13,11,30.05,78.1
Scattered Clouds,1029,14,15,30.04,77.0
Mostly Cloudy,1029,15,16,30.04,75.0
Mostly Cloudy,1029,16,15,30.04,73.9
Scattered Clouds,1029,17,22,30.05,71.1
Partly Cloudy,1029,18,26,30.06,66.0
Partly Cloudy,1029,19,28,30.07,64.0
Clear,1029,20,39,30.08,57.9
Clear,1029,21,39,30.09,55.9
Clear,1029,22,52,30.11,53.1
Clear,1029,23,55,30.10,53.1
Clear,1029,24,56,30.10,51.1
Overcast,103,1,68,29.87,66.0
Overcast,103,2,68,29.86,66.0
Overcast,103,3,70,29.86,64.9
Overcast,103,4,70,29.87,64.9
Haze,103,5,75,29.87,64.0
Haze,103,6,81,29.89,63.0
Light Rain,103,7,81,29.90,63.0
Haze,103,8,81,29.91,63.0
Haze,103,9,78,29.93,64.0
Overcast,103,10,73,29.93,64.4
Overcast,103,11,70,29.92,66.0
Overcast,103,12,66,29.92,66.9
Overcast,103,13,63,29.92,68.0
Overcast,103,14,59,29.90,70.0
Mostly Cloudy,103,15,57,29.89,71.1
Partly Cloudy,103,16,53,29.87,73.0
Haze,103,17,53,29.86,73.0
Partly Cloudy,103,18,57,29.85,71.1
Clear,103,19,58,29.86,69.1
Clear,103,20,63,29.88,66.9
Partly Cloudy,103,21,68,29.90,64.9
Partly Cloudy,103,22,68,29.92,64.9
Overcast,103,23,70,29.92,64.0
Overcast,103,24,68,29.91,64.9
Clear,1030,1,61,30.09,48.9
Clear,1030,2,61,30.09,48.0
Clear,1030,3,61,30.09,46.9
Clear,1030,4,65,30.09,45.0
Clear,1030,5,65,30.10,44.1
Clear,1030,6,71,30.11,43.0
Partly Cloudy,1030,7,61,30.13,46.0
Partly Cloudy,1030,8,63,30.14,46.9
Partly Cloudy,1030,9,47,30.16,55.0
Clear,1030,10,32,30.18,64.9
Clear,1030,11,19,30.16,70.0
Clear,1030,12,25,30.12,72.0
Clear,1030,13,17,30.10,73.0
Partly Cloudy,1030,14,13,30.09,75.0
Partly Cloudy,1030,15,12,30.07,75.9
Scattered Clouds,1030,16,14,30.07,73.9
Scattered Clouds,1030,17,17,30.07,72.0
Partly Cloudy,1030,18,28,30.09,64.0
Partly Cloudy,1030,19,32,30.09,61.0
Clear,1030,20,33,30.10,59.0
Clear,1030,21,42,30.11,55.0
Clear,1030,22,43,30.12,54.0
Partly Cloudy,1030,23,47,30.13,52.0
Clear,1030,24,48,30.12,50.0
Clear,1034,1,48,30.04,53.1
Clear,1034,2,47,30.04,53.1
Clear,1034,3,47,30.04,53.1
Haze,1034,4,47,30.02,54.0
Clear,1034,5,45,30.01,55.0
Mostly Cloudy,1034,6,45,30.02,55.0
Haze,1034,7,42,30.03,57.0
Mostly Cloudy,1034,8,44,30.03,57.9
Mostly Cloudy,1034,9,34,30.04,64.0
Mostly Cloudy,1034,10,26,30.05,70.0
Haze,1034,11,27,30.05,72.0
Mostly Cloudy,1034,12,25,30.04,73.9
Mostly Cloudy,1034,13,26,30.04,70.0
Overcast,1034,14,28,30.03,71.1
Overcast,1034,15,27,30.04,72.0
Overcast,1034,16,26,30.05,69.1
Overcast,1034,17,27,30.06,68.0
Overcast,1034,18,32,30.07,66.9
Overcast,1034,19,32,30.08,66.0
Overcast,1034,20,39,30.08,64.9
Overcast,1034,21,46,30.09,63.0
Mostly Cloudy,1034,22,46,30.10,63.0
Light Rain,1034,23,62,30.13,61.0
Light Rain,1034,24,75,30.14,60.1
Light Rain,1035,1,78,30.13,59.0
Light Rain,1035,2,78,30.13,57.9
Rain,1035,3,77,30.11,55.9
Light Rain,1035,4,88,30.10,55.4
Light Rain,1035,5,90,30.11,55.9
Light Rain,1035,6,87,30.11,57.0
Light Rain,1035,7,87,30.12,57.0
Rain,1035,8,88,30.15,57.2
Light Rain,1035,9,87,30.16,57.9
Overcast,1035,10,83,30.20,60.1
Overcast,1035,11,72,30.19,62.1
Overcast,1035,12,65,30.17,64.0
Overcast,1035,13,65,30.14,64.9
Mostly Cloudy,1035,14,63,30.12,66.0
Mostly Cloudy,1035,15,61,30.11,68.0
Scattered Clouds,1035,16,59,30.11,68.0
Mostly Cloudy,1035,17,60,30.13,66.0
Overcast,1035,18,65,30.12,64.9
Scattered Clouds,1035,19,70,30.12,63.0
Mostly Cloudy,1035,20,65,30.12,64.0
Mostly Cloudy,1035,21,72,30.13,62.1
Mostly Cloudy,1035,22,70,30.13,63.0
Light Rain,1035,23,83,30.12,61.0
Light Rain,1035,24,83,30.11,60.1
Overcast,1036,1,81,30.09,61.0
Light Rain,1036,2,83,30.09,60.1
Scattered Clouds,1036,3,83,30.06,60.1
Heavy Rain,1036,4,90,30.06,59.0
Heavy Rain,1036,5,90,30.06,59.0
Light Rain,1036,6,93,30.07,59.0
Light Rain,1036,7,93,30.09,59.0
Light Rain,1036,8,90,30.09,60.1
Light Rain,1036,9,84,30.10,62.1
Light Rain,1036,10,78,30.10,64.0
Overcast,1036,11,78,30.09,66.0
Mostly Cloudy,1036,12,75,30.06,66.0
Overcast,1036,13,75,30.02,66.0
Light Rain,1036,14,75,30.01,66.0
Light Rain,1036,15,84,30.01,64.9
Overcast,1036,16,81,29.97,64.9
Light Rain,1036,17,81,29.96,64.9
Light Rain,1036,18,87,29.97,63.0
Overcast,1036,19,86,29.99,62.1
